,code,name,MaxDrawDown,1W,1M,3M,6M,1Y,2Y,3Y,4Y,5Y
0,000216,华安黄金易(ETF联接)A,-21.900168658868836,0.61,3.46,-6.60,-8.51,0.89,27.79,34.13,32.52,39.20
0,000217,华安黄金易(ETF联接)C,-22.08842362374378,0.60,3.43,-6.68,-8.68,0.53,27.22,33.77,31.80,38.34
0,000219,博时裕益混合,-65.64408815154619,-0.23,3.56,8.55,4.84,45.78,63.22,71.32,95.58,99.74
0,000220,富国医疗保健行业混合,-66.64871603519407,-0.66,16.16,-3.26,11.99,54.60,139.08,175.76,186.76,142.83
0,000221,汇添富年年利债券A,-5.132382609672337,0.08,0.71,-2.13,-0.59,0.22,9.04,11.65,12.80,16.75
0,000222,汇添富年年利债券C,-5.137011872840902,0.00,0.56,-2.27,-0.91,-0.30,8.09,10.28,10.94,14.30
0,000227,华安年年红债券A,-3.591686599999999,0.19,1.06,2.26,11.81,24.36,,,,
0,000235,诺安稳固收益一年定期开放债券,-4.3711332615130605,0.40,0.98,0.19,7.43,20.83,,,,
0,000236,工银月月薪定期支付债券A,-6.92192012319508,-0.34,0.23,-2.78,2.34,7.12,14.94,16.09,21.25,23.13
0,000239,华安年年盈定期开放债券A,-7.012110998165488,0.20,1.57,2.38,12.81,25.72,,,,
0,000240,华安年年盈定期开放债券C,-7.112578188748397,0.10,1.38,2.00,12.17,24.38,,,,
0,000241,宝盈核心优势混合C,-69.94845585496836,-0.08,6.93,-11.66,3.33,32.13,66.34,70.21,64.41,55.48
0,000242,景顺长城策略精选灵活配置,-40.18362543753937,1.01,7.60,0.66,20.67,79.50,97.93,106.11,84.87,118.18
0,000244,天弘稳利定期开放债券A,-6.568429863417591,0.09,1.00,1.81,-2.13,-1.98,5.35,15.41,15.41,16.62
0,000245,天弘稳利定期开放债券B,-6.873482617788862,0.07,0.97,1.70,-2.33,-2.39,4.57,14.04,13.93,14.59
0,000246,博时月月薪定期支付债券,-7.289630342880904,0.20,1.57,4.37,15.89,31.84,62.75,,,
0,000251,工银金融地产混合,-47.25784988963758,-1.77,-0.84,-3.34,8.90,31.02,21.86,25.79,49.87,67.35
0,000254,长城增强收益债券A,-4.933409520905085,0.03,0.43,0.80,1.52,5.88,8.11,12.08,14.41,17.83
0,000255,长城增强收益债券C,-4.933249758437686,0.03,0.41,0.70,1.32,5.46,7.25,10.75,12.68,15.80
0,000256,上投红利回报混合,-8.116869488421719,0.00,0.52,-0.77,2.97,7.56,12.15,9.05,13.86,18.29
0,000259,农银区间收益混合,-31.237292514923677,-0.82,2.03,-9.20,11.79,55.29,88.23,77.55,115.87,151.68
0,000263,工银信息产业混合,-79.91471939469602,-0.90,4.35,-10.92,21.26,104.82,155.99,167.41,165.84,143.57
0,000264,博时内需增长混合,-64.05700539479827,-0.76,2.94,-18.67,2.06,26.38,38.92,29.77,41.60,46.13
0,000265,易方达恒久1年定期债券A,-4.056212512781321,0.10,0.59,1.28,2.18,2.89,18.11,,,
0,000266,易方达恒久1年定期债券C,-4.067813429973654,0.00,0.49,1.18,1.99,2.51,16.79,,,
0,000267,广发集利1年定期开放债券A,-4.151658619951615,0.19,0.46,-1.42,5.25,15.51,,,,
0,000268,广发集利1年定期开放债券C,-4.161246037047994,0.09,0.28,-1.79,4.45,13.84,,,,
0,000270,建信灵活配置混合,-9.291070017815207,-1.67,-0.62,-5.94,2.11,4.29,5.93,10.04,15.02,13.52
0,000271,中邮定期开放债券A,-2.4436708847659028,0.58,1.88,1.59,6.44,17.81,,,,
0,000272,中邮定期开放债券C,-2.488472265496733,0.57,1.79,1.22,5.84,16.96,,,,
0,000277,博时双月薪定期支付债券,-4.467555657748823,-0.60,1.70,3.23,15.09,31.34,75.75,,,
0,000279,华商红利优选混合,-26.01461545349595,-2.33,0.22,-10.59,8.85,41.31,56.82,50.78,52.41,61.97
0,000294,华安生态优先股票,-63.05429816914629,1.31,6.89,-7.91,13.59,75.18,112.17,132.20,202.07,274.17
0,000297,鹏华可转债,-36.19682954960095,-0.51,1.85,-3.64,11.93,32.38,50.89,60.69,73.73,58.91
0,000298,中海纯债A,-8.235179991988284,0.00,0.09,-0.26,2.60,2.05,6.81,13.25,15.19,12.25
0,000299,中海纯债C,-8.37456388539064,-0.09,0.00,-0.45,2.30,1.46,5.69,11.62,13.33,10.08
0,000307,易方达黄金ETF联接A类,-21.720468797707536,0.60,3.44,-6.55,-8.45,1.13,27.19,32.93,31.68,
0,000308,建信创新中国混合,-44.643800348299976,0.08,2.07,-6.38,22.45,58.60,81.72,91.45,111.23,156.82
0,000309,大摩品质生活股票,-63.378704861871384,-0.52,-1.00,-1.27,10.89,49.31,72.11,77.94,72.56,147.01
0,000310,安信永利信用债券A,-3.714759718236438,0.33,1.58,4.01,5.45,4.99,21.46,,,
0,000311,景顺长城沪深300增强,-49.67177872985498,0.70,2.75,-2.24,12.39,44.98,40.72,34.35,62.29,115.92
0,000312,华安沪深300增强A,-47.86407649040011,-0.18,0.53,-9.40,10.21,51.72,59.31,54.81,82.72,125.28
0,000314,招商瑞丰灵活配置混合,-11.06222724423036,-0.18,1.10,1.72,5.81,14.98,20.32,23.67,30.47,34.90
0,000319,泰达淘利债券A,-1.943701742069348,0.04,0.23,1.96,5.28,6.11,10.50,16.07,19.70,22.22
0,000320,泰达淘利债券C,-1.9635382723626749,0.04,0.18,1.86,5.12,5.83,9.94,15.27,18.48,20.78
0,000327,南方新蓝筹混合,-15.317959627741596,-1.52,7.13,-1.58,5.88,54.48,62.67,97.17,108.40,117.69
0,000328,上投转型动力混合,-70.39460793108947,-3.38,2.59,-13.48,11.25,67.35,113.94,62.82,103.47,111.64
0,000333,长城稳固债券A,-9.043895830185766,-0.21,0.95,-3.67,-0.47,6.19,14.30,20.25,22.71,24.22
0,000334,长城稳固债券C,-9.034877687344567,-0.22,0.91,-3.76,-0.67,5.75,13.64,18.97,20.97,21.93
0,000336,农银研究精选混合,-74.99343006900519,-2.21,3.65,-12.97,21.58,131.60,194.72,157.47,138.33,143.19
0,000339,长城医疗保健股票,-48.58777901230283,0.89,10.68,-1.88,13.21,55.06,141.27,168.37,174.54,257.74
0,000354,长盛城镇化主题混合,-54.34300317779035,1.74,7.25,-21.58,-5.64,11.23,21.94,13.20,6.11,30.31
0,000355,南方丰元信用增强债券A,-7.270811291753776,0.11,0.82,1.53,2.40,1.72,9.93,20.35,22.68,20.68
0,000356,南方丰元信用增强债券C,-7.40535353399594,0.10,0.79,1.43,2.20,1.29,9.10,18.88,20.75,18.23
0,000362,国泰聚信价值优势灵活配置混合A,-35.569411979698586,-2.93,2.86,-3.75,2.03,34.80,97.18,93.10,111.42,105.61
0,000363,国泰聚信价值优势灵活配置混合C,-35.8826867156516,-2.92,2.81,-3.88,1.77,34.13,95.29,90.29,107.13,105.67
0,000367,国泰安康定期支付混合A,-6.045,-0.27,1.38,-0.75,4.78,19.22,24.71,29.08,42.68,51.85
0,000368,汇添富安中指数,-56.939522944020325,0.69,-1.19,-2.79,14.92,51.10,60.73,49.90,75.98,117.54
0,000373,华安中证细分医药ETF联接A,-54.525132838556914,0.70,6.29,-4.66,3.95,39.79,53.10,42.15,67.24,98.73
0,000376,华安中证细分医药ETF联接C,-55.027259909840886,0.78,-0.15,-6.04,3.02,35.70,50.15,37.82,62.03,94.60
0,000377,上投双债增利债券A,-12.59581729022371,-0.19,0.19,-3.94,-2.25,0.54,7.41,9.20,8.35,12.92
0,000378,上投双债增利债券C,-12.591707280944576,-0.19,0.19,-3.95,-2.53,0.09,6.52,7.88,6.41,10.67
0,000390,华商优势行业混合,-26.761915373775835,0.00,0.69,-5.72,28.02,41.95,77.00,87.12,89.66,97.20
0,000395,汇添富安心中国债A,-2.7294651699944272,0.08,0.54,0.23,0.94,0.78,5.46,10.97,13.40,13.20
0,000396,汇添富安心中国债C,-2.8404241705976108,0.08,0.62,0.23,0.77,0.39,4.75,12.53,14.61,14.01
0,000402,工银纯债债券A,-7.271249686356551,0.09,0.64,1.13,2.79,1.73,7.38,14.84,12.59,12.22
0,000403,工银纯债债券B,-7.782502532781621,0.08,0.59,1.03,2.56,1.30,6.52,13.71,11.09,10.27
0,000404,易方达新兴成长混合,-78.06772620781595,-2.71,2.74,-13.46,0.79,40.97,104.38,63.79,109.06,104.68
0,000406,汇添富双利增强债券A,-10.53533166463152,-0.90,0.17,-1.86,2.89,6.04,15.46,18.54,21.27,26.64
0,000407,汇添富双利增强债券C,-10.618633762072992,-0.90,0.08,-2.03,2.64,5.52,14.49,17.25,19.88,24.74
0,000409,鹏华环保产业股票,-57.14582576374034,-0.51,1.78,-18.62,19.38,93.04,119.89,117.57,127.16,196.88
0,000411,景顺长城优质成长股票,-64.57239314497016,0.55,2.95,-2.84,14.03,50.96,59.17,49.83,69.44,89.64
0,000414,嘉实绝对收益策略定期混合,-6.833762774181517,0.14,2.28,2.73,4.12,12.09,19.19,15.15,18.89,20.12
0,000415,大摩添利18个月开放债券A,-2.2466474216152554,0.51,1.91,3.04,9.98,25.27,,,,
0,000416,大摩添利18个月开放债券C,-2.412861057358995,0.52,1.81,2.58,9.03,23.25,,,,
0,000418,景顺长城成长之星股票,-62.973998808444044,-0.42,-0.13,-11.11,9.19,48.46,116.89,110.52,143.87,234.09
0,000419,大摩优质信价纯债A,-2.6819417704776027,0.00,0.48,0.96,1.71,0.91,6.26,12.28,16.90,20.71
0,000420,大摩优质信价纯债C,-2.806710492637887,0.00,0.38,0.87,1.53,0.55,5.51,11.48,15.61,18.86
0,000421,华泰柏瑞丰汇债券A,-20.149045751659333,-0.39,-0.73,-0.91,-0.26,-1.01,3.76,10.62,14.51,17.01
0,000422,华泰柏瑞丰汇债券C,-20.14984494851114,-0.40,-0.78,-1.04,-0.49,-1.45,3.12,9.44,13.05,14.66
0,000423,前海开源事件驱动混合,-30.234066407484107,0.37,1.84,-12.62,-4.37,1.24,12.49,31.22,71.03,71.18
0,000431,鹏华品牌传承混合,-42.14574126764554,-1.09,4.93,-11.55,11.69,80.21,118.94,102.56,185.04,186.36
0,000433,安信鑫发优选混合,-45.87914120000107,2.30,1.80,16.61,41.73,70.36,70.50,66.83,73.61,94.06
0,000452,南方医药保健灵活配置混合,-30.090667851577592,0.60,16.48,1.53,12.10,71.02,140.06,144.95,168.88,202.20
0,000462,农银主题轮动混合,-50.95933078521626,-1.45,2.88,-17.22,3.64,58.71,115.32,54.53,108.72,137.10
0,000463,华商双债丰利债券A,-54.89810837113049,0.00,0.96,-1.72,-11.42,-26.46,-27.73,-48.31,-47.98,-43.07
0,000465,景顺长城鑫月薪定期支付债券,-2.9396861014783005,-0.10,0.40,0.59,2.23,2.23,8.99,16.37,18.58,21.03
0,000469,富国目标齐利一年期债券,-2.4330766226047573,0.09,0.74,1.39,1.99,2.46,7.76,17.60,18.17,27.47
0,000481,华商双债丰利债券C,-55.600914865024585,0.00,0.98,-1.75,-11.60,-26.72,-28.34,-48.92,-49.34,-44.68
0,000507,泰达宏利宏达混合A,-7.086171067564395,-0.20,1.65,0.07,9.14,16.07,22.70,24.35,39.59,39.72
0,000508,泰达宏利养老混合B,-7.401477561918046,-0.21,1.63,0.00,8.99,15.79,22.12,23.28,37.50,37.64
0,000511,国泰国策驱动灵活配置混合A,-31.359071048889476,0.11,1.25,0.76,5.90,23.46,29.99,7.85,24.78,32.86
0,000526,国泰浓益灵活配置混合A,-25.89324914868221,0.15,1.00,0.00,4.53,17.55,20.44,7.76,22.66,25.95
0,000527,南方新优享灵活配置混合,-48.79633251105856,-2.44,6.30,-13.44,10.79,61.39,100.93,94.85,143.07,225.74
0,000530,招商丰盛增长混合,-31.65251424090787,-2.24,1.95,-23.22,-2.40,31.33,48.94,48.22,51.03,57.39
0,000532,景顺长城优势企业混合,-63.385197899470036,-3.29,12.05,-8.65,19.15,76.19,116.57,113.24,190.27,216.01
0,000534,长盛高端装备混合,-61.587452457268,-0.80,0.29,-4.31,13.26,65.93,95.13,89.14,96.75,118.19
0,000535,长盛航天海工混合,-60.13591160019121,0.87,6.46,-21.15,1.29,54.43,45.52,33.81,24.71,43.60
0,000536,前海开源可转债债券,-51.371498173839484,-0.58,1.59,-7.35,10.86,20.97,19.28,18.86,34.87,34.70
0,000538,诺安优势混合,-9.374067131177345,-0.61,0.96,-3.30,-1.88,8.60,12.87,10.23,13.48,14.36
0,000541,华商创新成长混合,-77.3816817342787,-3.73,4.45,-16.57,8.13,59.51,126.59,121.96,76.19,78.35
0,000545,中邮核心竞争力混合,-78.5630119708423,-1.53,0.40,-1.19,16.83,47.88,55.12,35.46,2.65,-3.38
0,000547,建信健康民生混合,-44.81978547683851,-0.19,5.92,1.55,29.42,76.18,131.48,128.41,145.67,196.56
0,000551,信诚幸福消费混合,-64.53214314766302,-1.72,8.35,-6.31,0.39,34.06,62.87,34.35,65.06,83.33
0,000554,中国梦灵活配置混合,-64.14792003547554,-1.85,-1.66,-11.29,6.43,41.26,42.35,24.92,40.08,63.70
0,000563,南方通利债券A,-2.9413164935456204,0.11,0.66,0.98,2.38,1.82,7.75,17.22,18.96,19.61
0,000564,南方通利债券C,-2.9427023100021765,0.10,0.62,0.87,2.16,1.33,7.01,15.87,17.29,17.64
0,000566,华泰柏瑞创新升级,-56.749952008102,-2.93,2.85,-13.25,2.73,45.67,57.30,57.51,111.52,162.34
0,000573,天弘通利混合,-3.5362196402587753,-0.19,1.81,0.13,4.99,16.80,28.29,29.88,38.18,45.04
0,000574,宝盈新价值混合,-74.18128095087447,-2.14,3.31,-0.04,22.52,76.84,110.68,106.40,107.60,134.90
0,000584,新华鑫益灵活配置混合,-50.28111701835745,-2.61,0.82,-16.39,7.50,44.28,90.58,106.70,135.93,178.79
0,000585,嘉实对冲套利定期混合,-6.806328235536863,0.08,2.87,2.55,4.46,11.60,22.30,17.18,20.35,22.06
0,000587,大成灵活配置混合,-62.14144600653584,-2.20,3.55,-12.79,5.86,58.67,75.32,51.04,74.37,89.14
0,000590,华安新活力混合,-3.9664140102556367,-0.14,0.96,0.89,3.82,16.14,19.77,20.99,33.41,38.10
0,000595,嘉实泰和混合,-39.536506602664836,0.14,13.27,-6.57,11.40,62.13,111.99,102.78,158.54,180.16
0,000597,中海积极收益混合,-4.6467203619066755,-0.28,0.36,0.14,7.08,17.15,29.38,30.15,43.13,47.43
0,000598,长盛生态环境混合,-51.95271393700853,-0.36,3.78,-22.11,-0.36,17.68,31.38,38.07,53.73,67.27
0,000601,华宝兴业创新混合,-71.35748662518323,-1.57,0.67,-17.29,2.59,65.54,119.44,117.74,162.56,172.38
0,000603,易方达创新驱动混合,-79.66648824024034,-3.99,0.74,-15.48,8.83,68.67,70.99,59.29,61.19,70.79
0,000609,华商新量化混合,-63.25793808739366,-2.78,1.89,-17.05,6.07,52.34,106.88,97.92,72.06,102.28
0,000612,华宝兴业生态混合,-65.87486395596763,0.03,0.47,-5.09,4.66,49.06,59.35,53.66,73.21,104.16
0,000634,富国天盛灵活配置混合,-49.59658380672679,-2.72,6.55,-9.06,11.47,60.13,93.49,88.67,137.85,173.12
0,000639,宝盈祥瑞混合,-12.928737965393822,-0.65,0.38,-4.04,-0.74,-2.55,-8.70,-7.26,-4.70,-2.08
0,000649,长城久鑫混合,-30.197085193047446,-1.47,11.02,-14.54,12.64,69.19,113.38,115.25,120.41,123.80
0,000652,博时裕隆混合,-53.67219721565518,-0.64,1.19,-2.37,6.96,47.41,65.13,86.01,93.96,143.01
0,000654,华商新锐产业混合,-76.72049304532689,0.72,5.03,-12.22,1.38,25.94,40.24,57.07,8.35,21.00
0,000667,工银绝对收益混合A,-7.620012145013266,0.08,0.46,-1.87,-0.30,7.18,22.01,18.70,20.66,20.33
0,000672,工银绝对收益混合B,-9.85338897723519,0.08,0.41,-2.07,-0.73,6.30,19.84,15.46,16.45,15.36
0,000679,招商丰利混合,-27.873858654025362,-1.14,9.04,-11.29,13.02,70.84,79.57,71.12,74.58,82.09
0,000684,长盛养老健康混合,-50.57300869159159,-2.48,17.62,-0.24,15.10,78.84,95.50,86.52,96.28,109.03
0,000689,前海开源新经济混合,-59.48993025343994,-1.85,2.40,-15.77,16.08,51.83,52.58,48.03,47.94,51.61
0,000690,前海开源大海洋混合,-69.28552042607988,1.52,7.75,-17.57,9.96,73.70,79.18,114.40,62.71,63.84
0,000698,宝盈科技30混合,-75.84282367534453,-1.63,5.15,-15.62,-1.73,40.47,86.13,80.44,88.65,108.64
0,000706,中邮多策略混合,-59.974501861582695,-0.20,-1.75,-5.56,7.99,28.66,46.17,46.78,43.46,57.73
